Country Name,"Country Code","Series Name","Series Code","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
Afghanistan,"AFG","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","451888201.107298","509167006.627241","442309235.928411","577464375.588513","611295312.268729","520962469.581761","471950680.433041","495836072.935093","480958390.7067","508272010.164635","NA"
Afghanistan,"AFG","Bank capital to assets ratio (%)","FB.BNK.CAPA.ZS","NA","8.24541177115674","7.62597903791835","11.6381513220985","11.8674762151377","9.23269367587705","11.4370971722688","11.6989358595343","11.0836292401481","NA","NA"
Afghanistan,"AFG","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","34.6587270282609","67.4598325945956","65.7157010868361","60.0636151344921","73.7548331344796","70.7065553980921","83.0798576558264","97.8489355243562","70.7626396343786","69.5786264163716","86.8874671818995"
Afghanistan,"AFG","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","49.9013229069412","4.6968178252385","4.95890140377645","4.85228704838131","7.7810908959605","12.0536179767696","11.0743789647307","12.2018301907814","8.88666018352578","NA","NA"
Afghanistan,"AFG","Consumer price index (2010 = 100)","FP.CPI.TOTL","100","111.804185808913","119.005731346616","127.795223073732","133.768366733582","132.883209191418","138.708665508891","145.610741438593","146.522481857209","149.895975208032","NA"
Afghanistan,"AFG","CPIA debt policy rating (1=low to 6=high)","IQ.CPA.DEBT.XQ","2.5","2.5","2.5","2.5","3","3","2.5","2.5","2.5","2.5","2.5"
Afghanistan,"AFG","CPIA business regulatory environment rating (1=low to 6=high)","IQ.CPA.BREG.XQ","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2","2","2","2"
Afghanistan,"AFG","Access to electricity (% of population)","EG.ELC.ACCS.ZS","42.7","43.2220189082037","69.1","68.9829406738281","89.5","71.5","97.7","97.7","98.7156219482422","97.7","NA"
Afghanistan,"AFG","Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)","FX.OWN.TOTL.OL.ZS","NA","10.5388832092285","NA","NA","11.5084447860718","NA","NA","18.0164985656738","NA","NA","NA"
Afghanistan,"AFG","Adjusted net national income (current US$)","NY.ADJ.NNTY.CD","14939998018.7829","16777829531.6996","18861707735.3748","19447328094.3288","19383671893.2325","19039855340.6274","17305951275.5143","18214418737.5489","17594190732.1325","18649298572.1356","NA"
Afghanistan,"AFG","Adjusted savings: energy depletion (current US$)","NY.ADJ.DNGY.CD","10443129.7626182","26493637.7457457","34477197.5679367","14947627.7837172","14100243.2133163","9737234.51428797","12931133.9189533","21533308.7106683","28262379.0870424","20748585.0153731","NA"
Afghanistan,"AFG","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","0","0","0","365454.97352047","472153.301528658","305153.646789472","388837.211625316","0","0","0","NA"
Afghanistan,"AFG","Adjusted savings: net forest depletion (current US$)","NY.ADJ.DFOR.CD","32834589.0387596","31825711.3929353","30760481.8334","31335819.4916288","32417332.601455","34371670.7740285","42870850.0430496","30430298.4780357","37401195.3475675","43302947.8073366","NA"
Afghanistan,"AFG","Adjusted savings: particulate emission damage (current US$)","NY.ADJ.DPEM.CD","535346670.803503","643492586.588456","681231947.568456","714607884.988603","702925546.04735","663023905.411763","577403184.25865","575149709.441071","557892202.216628","521580871.762129","NA"
Afghanistan,"AFG","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC","0.297065211570221","0.407073503097594","0.335351023308404","0.263715760645502","0.234036914423758","0.232175631246749","0.208857195602366","0.20332756862023","0.200151071015376","NA","NA"
Afghanistan,"AFG","Current education expenditure, total (% of total expenditure in public institutions)","SE.XPD.CTOT.ZS","81.6814193725586","82.6250915527344","84.9222869873047","81.1480026245117","80.696907043457","80.4073333740234","NA","NA","NA","NA","NA"
Afghanistan,"AFG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","8.56967163","8.56190681","7.89717579","8.80594063","9.52887058","10.10534763","11.81856155","12.62081718","14.12674332","13.24220181","NA"
Afghanistan,"AFG","Death rate, crude (per 1,000 people)","SP.DYN.CDRT.IN","8.25","7.936","7.645","7.38","7.141","6.929","6.742","6.575","6.423","6.285","6.157"
Afghanistan,"AFG","Ease of doing business score (0 = lowest performance to 100 = best performance)","IC.BUS.DFRN.XQ","NA","NA","NA","NA","NA","39.25519","38.93563","37.13062","44.20343","44.06497","NA"
Afghanistan,"AFG","Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","SE.TER.CUAT.BA.FE.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Afghanistan,"AFG","Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","SE.TER.CUAT.BA.MA.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
